filename,xmin,xmax,ymin,ymax,cell_type,confidence
BloodImage_00000.jpg,9,160,342,479,1,0.907796332
BloodImage_00000.jpg,216,242,224,239,3,0.955723824
BloodImage_00000.jpg,468,499,332,371,3,0.94778911
BloodImage_00000.jpg,213,240,265,284,3,0.514083455
BloodImage_00000.jpg,584,624,247,277,3,0.899464817
BloodImage_00000.jpg,281,304,0,16,3,0.963553131
BloodImage_00000.jpg,18,53,418,465,3,0.737054491
BloodImage_00000.jpg,302,347,181,220,3,0.759076191
BloodImage_00000.jpg,248,290,419,437,3,0.903926411
BloodImage_00000.jpg,421,448,416,442,3,0.811513717
BloodImage_00000.jpg,155,177,231,257,3,0.85620429
BloodImage_00000.jpg,590,639,0,48,3,0.749871565
BloodImage_00000.jpg,32,51,439,463,3,0.88175301
BloodImage_00000.jpg,234,360,330,400,3,0.711988949
BloodImage_00000.jpg,137,160,108,137,3,0.960721584
BloodImage_00000.jpg,283,308,332,352,3,0.976266235
BloodImage_00000.jpg,309,394,385,479,3,0.536724567
BloodImage_00000.jpg,100,129,130,154,3,0.679024777
BloodImage_00000.jpg,299,368,180,229,1,0.790260714
BloodImage_00000.jpg,0,23,303,328,3,0.987210455
BloodImage_00000.jpg,453,545,73,156,3,0.80608262
BloodImage_00000.jpg,46,114,2,43,2,0.508390493
BloodImage_00000.jpg,596,639,155,185,3,0.522559606
BloodImage_00000.jpg,528,627,57,237,1,0.742435097
BloodImage_00000.jpg,52,86,112,150,3,0.96510082
BloodImage_00000.jpg,475,613,213,346,3,0.980090547
BloodImage_00000.jpg,282,307,117,136,2,0.548761455
BloodImage_00000.jpg,367,443,0,50,3,0.988499013
BloodImage_00000.jpg,0,30,90,131,3,0.894630429
BloodImage_00000.jpg,45,109,0,61,3,0.648388144
BloodImage_00000.jpg,340,390,327,341,1,0.696147348
BloodImage_00000.jpg,434,482,221,244,3,0.770530556
BloodImage_00000.jpg,582,639,281,354,3,0.834854811
BloodImage_00000.jpg,8,34,0,13,3,0.990776348
BloodImage_00000.jpg,28,108,0,37,2,0.938685483
BloodImage_00000.jpg,275,305,0,17,3,0.9388565
BloodImage_00000.jpg,443,477,385,420,3,0.947848239
BloodImage_00000.jpg,566,624,240,270,3,0.981712276
BloodImage_00000.jpg,259,307,124,191,3,0.966316179
BloodImage_00000.jpg,522,576,315,346,3,0.891233635
BloodImage_00000.jpg,297,321,127,171,3,0.888356675
BloodImage_00000.jpg,80,392,0,139,3,0.910802208
BloodImage_00000.jpg,359,373,139,165,3,0.981398447
BloodImage_00000.jpg,552,575,132,151,3,0.880542399
BloodImage_00000.jpg,487,500,244,272,3,0.818983644
BloodImage_00000.jpg,576,610,16,44,3,0.776689624
BloodImage_00000.jpg,400,417,459,479,3,0.929690105
BloodImage_00000.jpg,210,291,132,214,3,0.60391003
BloodImage_00000.jpg,221,247,258,275,3,0.842370687
BloodImage_00000.jpg,352,579,341,479,3,0.995481874
BloodImage_00000.jpg,0,143,154,415,3,0.92609716
BloodImage_00000.jpg,278,312,133,169,1,0.874289335
BloodImage_00000.jpg,94,128,218,241,3,0.995928704
BloodImage_00000.jpg,0,33,183,244,3,0.747376794
BloodImage_00000.jpg,449,464,158,178,3,0.872633403
BloodImage_00000.jpg,309,336,272,322,3,0.895304505
BloodImage_00000.jpg,273,316,145,201,3,0.848848499
BloodImage_00000.jpg,225,275,0,31,3,0.811978882
BloodImage_00000.jpg,79,105,287,351,3,0.815171608
BloodImage_00000.jpg,84,144,408,428,2,0.602313143
BloodImage_00000.jpg,48,137,13,60,3,0.837490657
BloodImage_00000.jpg,68,157,0,69,3,0.858041452
BloodImage_00000.jpg,49,137,13,59,3,0.938925788
BloodImage_00000.jpg,582,639,281,367,3,0.782785099
BloodImage_00000.jpg,454,497,42,110,3,0.976354693
BloodImage_00000.jpg,623,639,447,479,3,0.710223731
BloodImage_00000.jpg,181,261,215,307,3,0.836507191
BloodImage_00000.jpg,479,536,0,50,3,0.973895897
BloodImage_00000.jpg,141,196,152,224,3,0.984392092
BloodImage_00000.jpg,235,289,0,19,3,0.992435776
BloodImage_00000.jpg,515,541,130,152,3,0.976723544
BloodImage_00000.jpg,74,114,408,479,3,0.960483919
BloodImage_00000.jpg,605,628,460,479,1,0.727202735
BloodImage_00000.jpg,619,639,380,400,3,0.872370551
BloodImage_00000.jpg,296,410,175,229,1,0.985384435
BloodImage_00000.jpg,565,639,270,367,3,0.734409986
BloodImage_00000.jpg,84,147,410,433,3,0.947409606
BloodImage_00000.jpg,468,489,196,212,1,0.872491816
BloodImage_00000.jpg,389,416,0,11,3,0.869590159
